age,study_hours,grade
50,1.4851527753141354,65.62837601905215
34,2.5534850479329787,61.46735271482286
27,3.8563987943234723,63.71151689620118
33,3.2140937441302038,61.116446078914954
42,1.754261221288012,68.36803099725432
59,3.173180925851182,73.866697352464
40,3.385317379728837,65.1240295514652
35,2.116142563798867,59.613102018376885
37,3.153725105945528,67.59221487546546
43,3.058208718446,66.34077077162998
45,1.857029702169377,68.20406826655017
44,3.3577873603482833,64.0404895148292
48,3.5607845263682343,67.47419138573433
34,4.083051243175277,65.11014889124671
20,4.053802052034903,60.95852364997137
44,1.622330632042909,64.246665815493
26,2.062174960084877,61.520309816796846
28,3.5150352672086598,60.4828014618852
43,3.513785950912209,66.83178417105206
20,3.515047686306048,60.45864848699105
27,6.852731490654721,67.35215545690316
43,3.570890510693167,68.60829836900957
30,4.135565640180599,61.71339458454098
36,3.9540017634932023,62.4765737747206
27,3.651391251305798,65.03702314536397
54,2.6847307553596544,70.08630493039077
54,3.7589692204932676,69.2137899914788
52,2.227174785462428,71.37491369359995
24,2.763181393259991,60.747166940497706
58,2.5146364521708966,72.77615811073272
47,3.0818741393863225,67.93328593008381
26,5.314658566673509,68.29908612977218
28,1.132734807408252,63.269963453776306
27,3.6862601903745134,62.02558393149127
31,1.3872841288103483,62.90788285648112
53,2.5280681342105664,70.22443366022296
52,4.088950596967366,73.24400383142553
42,3.0642800190954627,64.34728910175434
43,1.9222552220706939,66.5788091864817
56,2.284696290740032,71.65848452258722
54,3.679597748934676,67.09803832587538
59,2.2696333682828636,68.05704301660789
41,3.216458589581975,62.08128595197817
46,3.045571839903814,66.91587253899546
54,2.348399652394183,70.45316409446494
20,5.143944089325325,65.17744701138245
54,3.633919022318011,70.70889238762116
56,0.9748574133423928,71.22705998715345
33,3.1864543147694278,60.963542261293526
22,2.338213535231612,55.99909136356762
20,3.852433334796224,60.51182460396223
24,2.2074792615672996,60.61710601175937
45,2.885263558533101,66.89692677405152
33,3.5049872789804573,59.9711005346968
58,3.8657551941701214,71.86066615397857
46,1.7997035929442238,63.35070531052336
28,2.6654987641590515,62.93794361465094
34,2.525054688839044,63.96326211880056
34,2.3466707674262883,61.13624534825683
45,4.765454240281096,68.19081125366394
32,3.4049817109609557,61.567551009375244
51,1.7391160456649548,67.26158106025161
58,3.917861947054776,74.0117189774682
51,5.122156197012633,69.47513534374407
23,4.032465260551147,62.747051343697066
49,1.4806300340459866,65.4162408041103
56,2.5157659271337485,68.2331734480358
42,4.2669111491866225,67.50623265911483
58,2.292330534381219,68.08031199641873
34,3.443819428146228,63.22528470308111
48,3.7746340534293368,66.5338050789375
55,2.073069528421917,72.91713369993909
32,2.9404746439382,63.1990966766693
51,-0.24126734006907258,63.61102817593194
26,1.9756123586657102,60.59869465186729
41,2.7474318486068396,65.37226211894655
47,1.7522168180351505,65.76072098257573
21,4.632411303931635,63.08722696480481
25,1.5698586220393673,60.898845766541854
47,2.559955513303016,66.11094432074256
47,3.1307405772860912,66.70525221145395
39,4.441273289066116,66.47942455257605
49,1.5641378488205606,61.97312308911351
30,4.16316375215496,60.96541437818885
47,3.010233061019587,70.44602820811255
44,2.018491348952049,68.91212504574501
58,3.462103474263271,71.05645209000316
52,3.19905969557347,70.59198556079969
20,2.3997831228412054,59.50224005649652
46,3.0698020849900187,73.6415241188985
32,2.61468640313824,64.97677350663504
22,3.113517345251248,60.080385631339965
58,3.6621306745210465,69.8834759282244
25,4.586016816145352,59.79032753885928
27,1.762184501173151,60.62154867314223
46,5.133033374656266,68.44693855901892
28,1.0479122004774981,56.812987221377654
56,2.8482149049644168,68.92471211747225
52,3.5883172064845765,67.7428846405527
43,3.2809918677350325,70.21147351142717
34,2.3773004801794064,64.8160400901142
51,2.7918777496427247,68.63430801693804
51,2.506999065341167,71.26828715618946
43,2.4106352430557885,65.94749890696218
31,3.8496020970210245,62.1969541137687
58,3.3570154859650474,74.47466673769736
21,2.3070904047393457,60.14632857305653
22,3.8995998754332506,59.20502754186699
56,3.3072995208766094,70.38808206888471
36,3.81286211883896,63.62419803583724
21,3.629628841923612,57.889955148379656
21,2.171004989077928,60.757561081956794
47,2.4398189598030307,70.8466160327039
42,3.7472936051232617,64.29961717850962
56,3.610370265433465,72.2583827919013
51,2.979098406035852,67.57363294899936
52,3.117327383308782,68.36654209244114
20,4.2776648957884245,59.948410026468366
38,2.40842861116417,62.56213279403737
21,3.5470973811700377,60.65356011329369
45,2.797807347566106,65.19546858425726
51,2.78231879677278,69.17969620768702
25,4.09877685198719,62.318056003486355
51,3.8254163489880297,69.41260352505282
23,3.8135096360006386,59.66108423911757
30,4.305478807154329,63.01303190744852
36,3.021003841632759,65.93598706161082
57,3.681952971294964,72.52017794080271
43,2.689733243406544,64.17256940249075
24,3.324166352488442,61.38766423384458
53,2.8698569456323155,70.84660258150235
25,3.0969959649927183,57.87758459574852
41,3.5951570254369134,67.70090881528417
30,2.1817793167665274,60.29288766222814
35,5.092387275685461,67.75206206800887
52,1.993982618500298,66.46626082911533
28,1.7858113872122678,56.93320946332568
