age,support_calls,monthly_usage,contract_type,churn
49,1,127.69832195723464,month-to-month,0
32,2,130.9868783198467,month-to-month,0
28,2,100.27522108504054,month-to-month,0
34,0,130.32911213467958,one-year,0
39,2,135.98197780037358,one-year,0
33,0,129.58885351622013,month-to-month,0
41,3,144.33545496487656,month-to-month,0
31,4,104.39224504506217,month-to-month,1
41,2,132.43889149792292,month-to-month,0
58,2,108.04949799091548,month-to-month,0
59,3,74.31377517270039,month-to-month,0
45,4,122.70487836846958,one-year,0
26,3,141.18696793958185,one-year,0
47,3,114.36756268354125,one-year,0
53,2,130.59072256490333,one-year,0
24,3,119.61731083474204,month-to-month,1
54,3,132.59692975506394,one-year,0
54,0,161.5191116170672,month-to-month,0
58,1,79.89200646232403,month-to-month,0
21,1,137.99913361261406,month-to-month,1
36,1,110.94746268777266,month-to-month,0
26,2,112.19296283820597,one-year,0
20,4,141.99631369659997,month-to-month,1
41,6,145.77920931877415,one-year,1
21,3,102.53082508782632,one-year,0
23,2,131.9459707426873,month-to-month,0
51,3,90.79481580597671,one-year,0
25,1,168.39652626139946,one-year,0
29,1,140.97993938262098,month-to-month,0
53,2,86.23287607886655,month-to-month,0
46,2,124.98436041554562,month-to-month,1
43,1,122.30218546527003,month-to-month,0
40,3,154.42427111479805,month-to-month,0
33,2,149.82572913030586,one-year,0
46,2,105.91235728028752,month-to-month,0
58,1,120.87249095969793,one-year,0
32,3,208.059807256868,one-year,0
29,5,137.93153227307957,month-to-month,0
33,3,127.66074039806165,month-to-month,1
20,3,104.45715970824963,month-to-month,1
47,3,124.30445203504756,month-to-month,0
37,2,86.13079124811804,month-to-month,1
32,1,103.78527482380665,month-to-month,0
51,3,164.00771790404642,month-to-month,1
31,2,111.7247717206892,one-year,0
46,2,115.06473077787163,month-to-month,0
55,4,98.96859422343572,month-to-month,0
42,5,104.46325623227088,month-to-month,1
24,3,150.69812144790305,month-to-month,0
32,3,96.5272918786122,one-year,0
57,2,112.20398679117912,month-to-month,1
51,1,91.70161558099703,month-to-month,0
57,2,129.83888439155018,month-to-month,0
58,4,126.86544254328587,one-year,0
38,7,115.66196219452456,month-to-month,0
59,1,128.80591636149057,one-year,0
41,4,178.68713155140335,month-to-month,0
26,0,145.2840237551391,month-to-month,0
41,6,158.01184126937045,month-to-month,1
44,2,106.50718770746953,one-year,0
59,1,92.92675365740192,month-to-month,0
32,1,145.47886650885133,month-to-month,0
53,1,151.47597102076278,month-to-month,0
52,3,130.81257493764815,month-to-month,1
51,0,136.13105262625714,month-to-month,0
42,2,67.86641469966314,month-to-month,0
55,2,101.78259034949522,month-to-month,0
23,0,127.88405369901001,one-year,0
21,2,121.27035127963006,one-year,0
36,1,81.71032472755235,month-to-month,0
45,0,171.36081190042543,month-to-month,0
22,0,88.60516049209957,one-year,0
24,2,130.23324323434787,month-to-month,1
24,1,142.8288535312719,one-year,0
39,0,136.68235031636058,month-to-month,0
23,2,83.50089810340943,month-to-month,0
32,4,94.37572127008139,month-to-month,1
31,0,160.7214508386533,one-year,0
59,2,150.49213131853566,month-to-month,0
49,0,214.6544505505538,month-to-month,0
32,4,153.9117671438592,one-year,0
58,0,62.58270890575526,one-year,0
21,0,149.518056212143,month-to-month,0
20,1,128.69201660949943,month-to-month,0
25,4,153.71988665196253,month-to-month,0
55,2,133.93184303439588,one-year,0
24,5,161.53790072264738,month-to-month,0
40,4,91.14974547280828,one-year,0
30,0,170.96694728086982,month-to-month,0
26,3,99.52012247089291,month-to-month,1
40,1,57.469744062925955,month-to-month,0
47,0,101.54688690331321,one-year,0
47,2,110.40839848124291,month-to-month,1
39,2,129.91519513101866,one-year,0
58,1,144.26496546066755,month-to-month,0
22,1,135.1089072663249,one-year,0
59,3,114.29882084478416,month-to-month,0
48,1,126.81978118016227,one-year,0
51,0,94.93739252135853,month-to-month,0
21,1,119.45042740915304,month-to-month,0
29,0,118.60969221779463,one-year,0
